股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
000858.SZ,2026-04-20,101.82,101.95,101.05,101.35,101.86,-0.51,-0.5007,116960.8,1186004.538
000858.SZ,2026-04-21,101.3,101.82,101.0,101.18,101.35,-0.17,-0.1677,108280.96,1095969.167
000858.SZ,2026-04-22,101.0,101.08,100.46,100.64,101.18,-0.54,-0.5337,144382.61,1452833.705
000858.SZ,2026-04-23,100.64,102.3,100.56,101.18,100.64,0.54,0.5366,174023.18,1764308.585
000858.SZ,2026-04-24,100.65,101.92,100.3,101.27,101.18,0.09,0.089,134533.38,1361341.945
000858.SZ,2026-04-27,100.5,100.53,100.05,100.2,101.27,-1.07,-1.0566,191047.82,1913778.919
000858.SZ,2026-04-28,100.08,100.29,99.9,100.2,100.2,0.0,0.0,123414.64,1234366.126
000858.SZ,2026-04-29,97.88,98.58,97.04,98.34,100.2,-1.86,-1.8563,338635.33,3316572.049
000858.SZ,2026-04-30,97.74,97.95,97.0,97.08,98.34,-1.26,-1.2813,248208.95,2413614.789
000858.SZ,2026-05-06,90.78,94.5,90.1,92.26,97.08,-4.82,-4.965,871599.23,7989429.629
000858.SZ,2026-05-07,92.43,93.85,92.43,92.6,92.26,0.34,0.3685,536277.88,4986385.438
000858.SZ,2026-05-08,92.6,92.8,91.66,92.13,92.6,-0.47,-0.5076,259640.91,2396026.818
000858.SZ,2026-05-11,92.03,92.29,91.37,91.81,92.13,-0.32,-0.3473,269324.56,2469941.064
000858.SZ,2026-05-12,91.8,91.93,90.5,90.56,91.81,-1.25,-1.3615,372974.23,3387693.472
000858.SZ,2026-05-13,90.57,90.83,88.74,89.15,90.56,-1.41,-1.557,467201.29,4173652.013
000858.SZ,2026-05-14,88.81,91.28,87.78,88.99,89.15,-0.16,-0.1795,503148.24,4478188.841
000858.SZ,2026-05-15,88.0,88.08,86.62,86.87,88.99,-2.12,-2.3823,361178.69,3145651.221
000858.SZ,2026-05-18,86.65,86.65,85.2,85.57,86.87,-1.3,-1.4965,393630.75,3374154.02
000858.SZ,2026-05-19,85.8,87.25,85.41,85.78,85.57,0.21,0.2454,304941.49,2630415.264
000858.SZ,2026-05-20,85.21,86.06,84.54,85.47,85.78,-0.31,-0.3614,304616.62,2599236.031
000858.SZ,2026-05-21,85.51,87.2,85.23,85.35,85.47,-0.12,-0.1404,326630.33,2812401.965
000858.SZ,2026-05-22,85.58,85.6,84.03,84.03,85.35,-1.32,-1.5466,260370.9,2196206.566
000858.SZ,2026-05-25,83.63,84.99,83.02,84.14,84.03,0.11,0.1309,292024.67,2456799.767
000858.SZ,2026-05-26,83.74,84.59,82.88,83.36,84.14,-0.78,-0.927,277303.83,2315776.877
000858.SZ,2026-05-27,83.0,86.25,81.7,83.89,83.36,0.53,0.6358,603800.66,5045124.429
000858.SZ,2026-05-28,82.56,82.83,81.3,81.49,83.89,-2.4,-2.8609,362378.62,2969342.51
000858.SZ,2026-05-29,80.99,85.59,80.88,84.89,81.49,3.4,4.1723,601101.25,5028433.895
000858.SZ,2026-06-01,83.95,83.95,82.83,83.41,84.89,-1.48,-1.7434,279987.2,2332216.892
000858.SZ,2026-06-02,83.38,83.98,82.42,82.71,83.41,-0.7,-0.8392,238178.61,1977315.316
000858.SZ,2026-06-03,82.6,82.97,81.62,82.35,82.71,-0.36,-0.4353,211543.63,1737250.497
000858.SZ,2026-06-04,82.35,82.79,81.1,81.1,82.35,-1.25,-1.5179,204210.67,1668519.854
000858.SZ,2026-06-05,81.5,82.42,81.03,81.08,81.1,-0.02,-0.0247,219364.42,1789684.297
000858.SZ,2026-06-08,81.01,81.69,79.56,79.96,81.08,-1.12,-1.3814,275252.03,2207910.676
000858.SZ,2026-06-09,79.9,80.0,78.88,79.11,79.96,-0.85,-1.063,218411.73,1731012.01686
000858.SZ,2026-06-10,79.03,79.75,78.6,79.14,79.11,0.03,0.0379,230725.64,1830058.90775
000858.SZ,2026-06-11,78.78,79.98,77.65,79.79,79.14,0.65,0.8213,378195.89,2978558.09256
000858.SZ,2026-06-12,79.39,80.92,79.21,79.92,79.79,0.13,0.1629,358344.21,2870646.29471
000858.SZ,2026-06-15,79.96,80.28,79.1,79.63,79.92,-0.29,-0.3629,240611.17,1916505.15187
000858.SZ,2026-06-16,79.39,79.5,78.15,78.33,79.63,-1.3,-1.6326,217565.86,1708709.32174
000858.SZ,2026-06-17,78.3,78.7,77.25,77.49,78.33,-0.84,-1.0724,222587.74,1727945.96535
000858.SZ,2026-06-18,77.28,77.36,75.85,75.85,77.49,-1.64,-2.1164,326843.06,2499475.18741
000858.SZ,2026-06-22,75.5,77.44,74.79,76.55,75.85,0.7,0.9229,356276.29,2704470.45823
000858.SZ,2026-06-23,76.15,78.32,74.37,74.76,76.55,-1.79,-2.3383,466102.69,3550233.2444
000858.SZ,2026-06-24,74.54,75.45,73.28,73.3,74.76,-1.46,-1.9529,300077.58,2218704.13012
000858.SZ,2026-06-25,73.05,75.68,72.9,75.0,73.3,1.7,2.3192,491432.23,3656493.22154
000858.SZ,2026-06-26,74.9,75.72,73.13,73.17,75.0,-1.83,-2.44,323521.13,2397332.8727
000858.SZ,2026-06-29,73.03,75.3,71.75,74.0,73.17,0.83,1.1343,427121.67,3149108.20135
000858.SZ,2026-06-30,73.5,74.92,72.44,74.0,74.0,0.0,0.0,362652.69,2662167.64483
000858.SZ,2026-07-01,73.87,74.88,72.58,74.52,74.0,0.52,0.7027,380760.59,2817061.5978
000858.SZ,2026-07-02,74.94,75.44,73.34,73.5,74.52,-1.02,-1.3688,350205.56,2591988.29198
000858.SZ,2026-07-03,73.64,74.71,72.6,73.21,73.5,-0.29,-0.3946,338250.35,2488093.35699
